kp,ki,Max power rate of G15.02 (max=341.165MW/min),Max power rate of G16.01 (max=686.878MW/min),Max power rate of G17.02 (max=95.200MW/min),Max power rate of G23.01 (max=485.898MW/min),Max power rate of G26.01 (max=356.785MW/min),Exceed max power rate or not?
0.6,0.05,168.5169,350.0445,47.9067,245.1913,181.8322,Not Exceed
0.6,0.06,177.6864,364.7671,49.4418,256.6534,190.154,Not Exceed
0.6,0.06,181.6033,373.7332,50.9035,260.8843,193.176,Not Exceed
0.6,0.06,184.9866,383.7922,52.5378,268.9169,199.3474,Not Exceed
0.6,0.07,192.5221,395.2393,53.5706,278.0723,205.9898,Not Exceed
0.6,0.07,210.0887,461.8793,58.9793,320.956,238.2389,Not Exceed
0.6,0.07,222.3957,489.6711,63.7323,342.6103,254.2641,Not Exceed
0.6,0.08,206.9383,428.7408,57.584,301.1255,223.5738,Not Exceed
0.6,0.08,233.6985,500.1146,65.5395,348.1037,258.4086,Not Exceed
0.6,0.08,216.771,449.2982,61.4908,314.6008,233.3175,Not Exceed
0.7,0.01,112.4181,233.4171,31.376,163.6888,122.2663,Not Exceed
0.7,0.01,114.1596,236.3882,31.7262,163.4918,122.1452,Not Exceed
0.7,0.01,116.6769,239.8614,32.5159,167.638,125.01,Not Exceed
0.7,0.02,124.906,258.5902,34.7889,181.3915,135.2256,Not Exceed
0.7,0.02,127.0905,262.9999,35.533,182.437,135.4546,Not Exceed
0.7,0.02,127.6042,267.566,36.3042,187.4362,139.6186,Not Exceed
0.7,0.03,138.4142,285.7162,38.4177,200.3007,148.6821,Not Exceed
0.7,0.03,141.0607,291.5982,39.4625,203.1053,150.844,Not Exceed
0.7,0.03,142.3,297.4014,40.4417,208.2302,155.0709,Not Exceed
0.7,0.04,152.3315,314.3328,42.4304,220.9127,163.7038,Not Exceed
0.7,0.04,155.4829,321.4339,43.4647,223.8607,166.1952,Not Exceed
0.7,0.04,157.4123,328.6314,44.786,229.8975,170.9097,Not Exceed
0.7,0.05,166.5726,343.3798,46.3895,241.3858,179.0067,Not Exceed
0.7,0.05,170.1231,351.1409,47.5578,244.9094,181.7817,Not Exceed
0.7,0.05,172.791,359.9694,49.0741,251.8397,186.9905,Not Exceed
0.7,0.06,180.5748,372.235,50.2817,261.526,194.0567,Not Exceed
0.7,0.06,184.5438,381.2883,51.6122,265.6405,197.3114,Not Exceed
0.7,0.06,187.9564,391.5274,53.41,273.7494,203.2981,Not Exceed
0.7,0.07,194.3376,400.6066,54.1088,281.3369,208.8577,Not Exceed
0.7,0.07,198.9185,410.9445,55.6541,286.0551,212.6004,Not Exceed
0.7,0.07,206.5916,458.9376,59.0974,320.1946,238.6022,Not Exceed
0.7,0.08,221.2772,484.7037,61.4624,339.3522,252.8925,Not Exceed
0.7,0.08,213.0778,440.1105,59.6278,306.1536,227.6488,Not Exceed
0.7,0.08,217.8038,453.1711,61.8513,316.5218,235.2649,Not Exceed
0.8,0.01,123.9535,257.446,34.6057,180.6598,134.8815,Not Exceed
0.8,0.01,126.2681,261.7571,35.1921,180.5778,135.2878,Not Exceed
0.8,0.01,132.7742,264.6478,35.8723,184.5503,138.1257,Not Exceed
0.8,0.02,135.0784,280.307,37.6952,196.5765,146.8073,Not Exceed
0.8,0.02,137.5441,284.7395,38.2521,196.8412,147.1259,Not Exceed
0.8,0.02,137.9417,289.8553,39.3187,202.5105,151.0074,Not Exceed
0.8,0.03,147.078,304.7701,41.0111,213.7793,159.3762,Not Exceed
0.8,0.03,149.8502,310.3576,41.8935,214.7292,159.6617,Not Exceed
0.8,0.03,150.9828,316.8332,42.946,221.4797,165.2454,Not Exceed
0.8,0.04,159.5726,329.8586,44.3344,230.8834,172.2184,Not Exceed
0.8,0.04,162.8869,337.3386,45.5703,233.974,173.7751,Not Exceed
0.8,0.04,164.7759,344.7006,46.7628,241.2456,179.6518,Not Exceed
0.8,0.05,172.202,355.8751,47.7959,249.1119,185.306,Not Exceed
