kp,ki,pcgTd (%),settling time (sec)
2.3,0.04,250.0,782.306
2.3,0.05,100.0,783.204
2.4,0.01,100.0,530.123
2.4,0.01,150.0,530.385
2.4,0.01,200.0,564.08
2.4,0.01,250.0,565.727
2.4,0.02,100.0,565.204
2.4,0.02,150.0,566.525
2.4,0.02,200.0,600.286
2.4,0.02,250.0,617.707
2.4,0.03,100.0,616.524
2.5,0.01,100.0,559.02
